| end of split  17 / 18 | epoch   4 | time:  9.25s | valid loss  2.67 | valid ppl    14.44 | learning rate 5.0000
| end of split  18 / 18 | epoch   4 | time:  8.51s | valid loss  2.66 | valid ppl    14.32 | learning rate 5.0000
| end of split   1 / 18 | epoch   5 | time:  9.80s | valid loss  2.66 | valid ppl    14.30 | learning rate 5.0000
| end of split   2 / 18 | epoch   5 | time:  8.51s | valid loss  2.66 | valid ppl    14.23 | learning rate 5.0000
| end of split   3 / 18 | epoch   5 | time:  9.00s | valid loss  2.65 | valid ppl    14.16 | learning rate 5.0000
| end of split   4 / 18 | epoch   5 | time:  8.62s | valid loss  2.74 | valid ppl    15.42 | learning rate 5.0000
| end of split   5 / 18 | epoch   5 | time:  6.08s | valid loss  2.67 | valid ppl    14.47 | learning rate 5.0000
| end of split   6 / 18 | epoch   5 | time:  7.86s | valid loss  2.65 | valid ppl    14.20 | learning rate 5.0000
| end of split   7 / 18 | epoch   5 | time:  7.33s | valid loss  2.64 | valid ppl    13.96 | learning rate 5.0000
| end of split   8 / 18 | epoch   5 | time:  7.37s | valid loss  2.63 | valid ppl    13.89 | learning rate 5.0000
| end of split   9 / 18 | epoch   5 | time:  7.13s | valid loss  2.64 | valid ppl    14.04 | learning rate 5.0000
| end of split  10 / 18 | epoch   5 | time:  7.65s | valid loss  2.64 | valid ppl    14.04 | learning rate 5.0000
| end of split  11 / 18 | epoch   5 | time:  7.66s | valid loss  2.62 | valid ppl    13.80 | learning rate 5.0000
| end of split  12 / 18 | epoch   5 | time: 11.16s | valid loss  2.65 | valid ppl    14.19 | learning rate 5.0000
| end of split  13 / 18 | epoch   5 | time: 10.19s | valid loss  2.62 | valid ppl    13.74 | learning rate 5.0000
| end of split  14 / 18 | epoch   5 | time:  8.31s | valid loss  2.63 | valid ppl    13.89 | learning rate 5.0000
| end of split  15 / 18 | epoch   5 | time:  9.44s | valid loss  2.62 | valid ppl    13.77 | learning rate 5.0000
| end of split  16 / 18 | epoch   5 | time:  7.22s | valid loss  2.63 | valid ppl    13.83 | learning rate 5.0000
| end of split  17 / 18 | epoch   5 | time:  7.91s | valid loss  2.61 | valid ppl    13.55 | learning rate 5.0000
| end of split  18 / 18 | epoch   5 | time:  9.14s | valid loss  2.60 | valid ppl    13.45 | learning rate 5.0000
| end of split   1 / 18 | epoch   6 | time:  8.45s | valid loss  2.62 | valid ppl    13.72 | learning rate 5.0000
| end of split   2 / 18 | epoch   6 | time:  9.00s | valid loss  2.60 | valid ppl    13.42 | learning rate 5.0000
| end of split   3 / 18 | epoch   6 | time: 10.85s | valid loss  2.61 | valid ppl    13.66 | learning rate 5.0000
| end of split   4 / 18 | epoch   6 | time: 10.75s | valid loss  2.61 | valid ppl    13.61 | learning rate 5.0000
| end of split   5 / 18 | epoch   6 | time:  8.86s | valid loss  2.59 | valid ppl    13.34 | learning rate 5.0000
| end of split   6 / 18 | epoch   6 | time:  8.50s | valid loss  2.61 | valid ppl    13.57 | learning rate 5.0000
| end of split   7 / 18 | epoch   6 | time: 10.52s | valid loss  2.62 | valid ppl    13.74 | learning rate 5.0000
| end of split   8 / 18 | epoch   6 | time:  7.66s | valid loss  2.58 | valid ppl    13.26 | learning rate 5.0000
| end of split   9 / 18 | epoch   6 | time:  9.29s | valid loss  2.59 | valid ppl    13.26 | learning rate 5.0000
| end of split  10 / 18 | epoch   6 | time:  8.86s | valid loss  2.58 | valid ppl    13.13 | learning rate 5.0000
