EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	TRAIN_PRECISION	TRAIN_RECALL	TRAIN_ACCURACY	TRAIN_F-SCORE	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_ACCURACY	DEV_F-SCORE	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_ACCURACY	TEST_F-SCORE
47	08:53:06	3	0.1000	51.16786034427472		_	_	_	_	40.25336837768555	0.6809	0.3253	0.2823	0.4403	_	0.6479	0.3239	0.2754	0.4319
48	08:56:34	0	0.0500	46.81851788421175		_	_	_	_	36.46780776977539	0.642	0.5	0.391	0.5622	_	0.5524	0.4824	0.3468	0.515
49	08:59:52	0	0.0500	48.24010820531134		_	_	_	_	36.53289794921875	0.6712	0.4554	0.3723	0.5426	_	0.628	0.4577	0.3601	0.5295
50	09:03:24	1	0.0500	46.56080194729478		_	_	_	_	36.19889831542969	0.6081	0.5335	0.397	0.5684	_	0.4951	0.5387	0.3477	0.516
51	09:06:42	0	0.0500	46.180513752040575		_	_	_	_	38.090309143066406	0.6621	0.448	0.3646	0.5344	_	0.6468	0.4577	0.3662	0.5361
52	09:10:15	0	0.0500	45.4953198788771		_	_	_	_	34.78630447387695	0.6667	0.5167	0.4106	0.5822	_	0.5826	0.4965	0.3662	0.5361
53	09:13:50	0	0.0500	45.78650585573111		_	_	_	_	36.51007843017578	0.6371	0.4665	0.3686	0.5386	_	0.6052	0.4965	0.375	0.5455
54	09:17:04	1	0.0500	45.924576944379666		_	_	_	_	36.305519104003906	0.6372	0.5223	0.4026	0.5741	_	0.5568	0.5176	0.3666	0.5365
55	09:20:25	2	0.0500	44.7674997813666		_	_	_	_	35.54811096191406	0.6482	0.5446	0.4204	0.5919	_	0.539	0.5599	0.3786	0.5493
56	09:23:26	0	0.0500	44.58507845295009		_	_	_	_	35.11082458496094	0.6595	0.5112	0.4044	0.576	_	0.5615	0.5141	0.3668	0.5368
57	09:28:38	0	0.0500	43.47610655827309		_	_	_	_	37.76807403564453	0.6858	0.4219	0.3536	0.5224	_	0.6225	0.4472	0.3518	0.5205
58	09:33:17	0	0.0500	46.207841104535916		_	_	_	_	36.040916442871094	0.6471	0.4703	0.3743	0.5447	_	0.587	0.4754	0.3562	0.5253
59	09:37:02	1	0.0500	45.73947052457439		_	_	_	_	35.84427261352539	0.6472	0.4944	0.3895	0.5606	_	0.6092	0.5106	0.3846	0.5556
60	09:40:43	2	0.0500	45.9015161315007		_	_	_	_	36.79783630371094	0.5991	0.4888	0.3683	0.5384	_	0.5496	0.507	0.3582	0.5274
61	09:44:25	3	0.0500	42.93821283596665		_	_	_	_	37.07030487060547	0.6142	0.4498	0.3507	0.5193	_	0.5654	0.4718	0.3463	0.5144
62	09:48:06	0	0.0500	46.084552366342116		_	_	_	_	38.00590896606445	0.6824	0.4033	0.3396	0.507	_	0.6576	0.4261	0.3487	0.5171
63	09:51:44	1	0.0500	44.24540778772155		_	_	_	_	34.5414924621582	0.6618	0.5093	0.4041	0.5756	_	0.6186	0.5141	0.3904	0.5615
64	09:55:09	2	0.0500	42.9431858347423		_	_	_	_	37.092655181884766	0.6379	0.4814	0.3781	0.5487	_	0.5813	0.5035	0.3695	0.5396
65	09:58:29	3	0.0500	43.203995889692166		_	_	_	_	35.793277740478516	0.6214	0.5279	0.3994	0.5708	_	0.5552	0.5493	0.3814	0.5522
66	10:02:03	0	0.0250	42.208968888467815		_	_	_	_	34.66996765136719	0.6707	0.5186	0.4133	0.5849	_	0.6239	0.5141	0.3925	0.5637
67	10:05:27	0	0.0250	42.68562704057836		_	_	_	_	34.62894058227539	0.6386	0.5353	0.4108	0.5824	_	0.5714	0.5493	0.389	0.5601
68	10:08:46	1	0.0250	43.1339111328125		_	_	_	_	38.40532684326172	0.6329	0.4294	0.3438	0.5117	_	0.6244	0.4683	0.3654	0.5352
